Date,Price,Open,High,Low,Change %
20-Nov-20,"1,870.49","1,867.59","1,879.98","1,860.66",0.17%
19-Nov-20,"1,867.37","1,871.44","1,874.34","1,852.48",-0.22%
18-Nov-20,"1,871.41","1,878.60","1,884.92","1,863.94",-0.38%
17-Nov-20,"1,878.60","1,889.15","1,893.90","1,877.69",-0.52%
16-Nov-20,"1,888.52","1,888.74","1,899.35","1,864.74",0.03%
13-Nov-20,"1,888.04","1,876.44","1,897.16","1,873.76",0.65%
12-Nov-20,"1,875.76","1,865.30","1,883.88","1,862.46",0.59%
11-Nov-20,"1,864.71","1,877.34","1,884.93","1,856.05",-0.63%
10-Nov-20,"1,876.50","1,862.15","1,890.60","1,860.30",0.79%
9-Nov-20,"1,861.86","1,954.65","1,965.92","1,850.36",-4.59%
6-Nov-20,"1,951.51","1,949.24","1,960.77","1,935.40",0.15%
5-Nov-20,"1,948.56","1,903.65","1,952.95","1,902.43",2.38%
4-Nov-20,"1,903.21","1,908.59","1,916.68","1,883.15",-0.27%
3-Nov-20,"1,908.36","1,895.80","1,910.71","1,886.81",0.70%
2-Nov-20,"1,895.10","1,878.59","1,896.12","1,873.21",0.91%
30-Oct-20,"1,877.95","1,868.24","1,889.85","1,864.64",0.58%
29-Oct-20,"1,867.13","1,876.94","1,885.42","1,859.67",-0.53%
28-Oct-20,"1,877.06","1,908.05","1,911.03","1,869.59",-1.56%
27-Oct-20,"1,906.83","1,902.19","1,911.34","1,897.47",0.27%
26-Oct-20,"1,901.69","1,902.34","1,908.55","1,890.90",0.05%
23-Oct-20,"1,900.79","1,904.24","1,914.30","1,894.54",-0.17%
22-Oct-20,"1,904.04","1,924.34","1,926.00","1,894.80",-1.06%
21-Oct-20,"1,924.49","1,908.65","1,931.41","1,907.94",0.95%
20-Oct-20,"1,906.39","1,904.24","1,914.20","1,894.74",0.11%
19-Oct-20,"1,904.27","1,899.94","1,918.59","1,897.09",0.28%
16-Oct-20,"1,898.97","1,907.95","1,914.06","1,897.59",-0.46%
15-Oct-20,"1,907.82","1,900.31","1,909.22","1,889.46",0.36%
14-Oct-20,"1,900.89","1,891.90","1,913.03","1,882.44",0.53%
13-Oct-20,"1,890.82","1,922.42","1,925.73","1,886.59",-1.62%
12-Oct-20,"1,921.95","1,930.50","1,933.45","1,918.19",-0.39%
9-Oct-20,"1,929.43","1,894.19","1,930.83","1,893.32",1.92%
8-Oct-20,"1,893.09","1,887.40","1,900.73","1,881.86",0.31%
7-Oct-20,"1,887.22","1,878.84","1,898.31","1,873.05",0.54%
6-Oct-20,"1,877.13","1,913.28","1,921.10","1,874.57",-1.87%
5-Oct-20,"1,912.90","1,902.24","1,918.74","1,886.81",0.75%
2-Oct-20,"1,898.70","1,905.65","1,917.28","1,889.57",-0.33%
1-Oct-20,"1,905.05","1,885.80","1,912.09","1,884.48",1.04%
30-Sep-20,"1,885.44","1,897.81","1,902.39","1,881.31",-0.65%
29-Sep-20,"1,897.69","1,881.40","1,899.24","1,875.56",0.90%
28-Sep-20,"1,880.85","1,859.00","1,883.39","1,849.19",1.12%
25-Sep-20,"1,860.05","1,868.61","1,875.28","1,852.59",-0.43%
24-Sep-20,"1,868.04","1,863.42","1,877.30","1,848.45",0.24%
23-Sep-20,"1,863.55","1,900.20","1,905.56","1,855.77",-1.88%
22-Sep-20,"1,899.28","1,912.80","1,919.99","1,894.93",-0.69%
21-Sep-20,"1,912.57","1,949.55","1,955.75","1,883.21",-1.90%
18-Sep-20,"1,949.69","1,943.87","1,960.20","1,941.79",0.37%
17-Sep-20,"1,942.60","1,959.99","1,963.48","1,932.99",-0.85%
16-Sep-20,"1,959.32","1,956.19","1,973.63","1,949.89",0.19%
15-Sep-20,"1,955.52","1,957.31","1,972.35","1,948.64",-0.04%
14-Sep-20,"1,956.37","1,941.05","1,962.52","1,937.46",0.77%
11-Sep-20,"1,941.50","1,955.20","1,957.95","1,937.42",-0.64%
10-Sep-20,"1,954.07","1,946.06","1,966.50","1,941.42",0.38%
9-Sep-20,"1,946.66","1,932.26","1,950.95","1,920.20",0.81%
8-Sep-20,"1,930.93","1,930.05","1,940.84","1,906.67",0.11%
7-Sep-20,"1,928.82","1,931.24","1,941.44","1,924.57",-0.19%
4-Sep-20,"1,932.45","1,931.51","1,942.25","1,916.67",0.10%
3-Sep-20,"1,930.52","1,943.06","1,951.19","1,921.99",-0.62%
2-Sep-20,"1,942.62","1,969.75","1,974.45","1,932.76",-1.40%
1-Sep-20,"1,970.14","1,967.63","1,992.38","1,963.20",0.02%
31-Aug-20,"1,969.75","1,965.40","1,976.47","1,954.58",0.27%
28-Aug-20,"1,964.49","1,930.04","1,973.91","1,923.70",1.84%
27-Aug-20,"1,928.91","1,953.31","1,976.60","1,910.22",-1.26%
26-Aug-20,"1,953.45","1,929.07","1,954.98","1,902.77",1.32%
25-Aug-20,"1,927.94","1,933.06","1,937.69","1,914.42",-0.23%
24-Aug-20,"1,932.45","1,939.24","1,961.89","1,924.01",-0.36%
21-Aug-20,"1,939.40","1,947.44","1,956.08","1,911.65",-0.16%
20-Aug-20,"1,942.60","1,929.53","1,955.44","1,925.12",0.68%
19-Aug-20,"1,929.54","2,001.19","2,006.68","1,924.82",-3.57%
18-Aug-20,"2,000.95","1,985.89","2,015.45","1,977.84",0.73%
17-Aug-20,"1,986.45","1,947.04","1,990.65","1,929.74",2.20%
14-Aug-20,"1,943.76","1,953.70","1,962.84","1,932.65",-0.48%
13-Aug-20,"1,953.03","1,920.90","1,966.43","1,912.93",1.84%
12-Aug-20,"1,917.82","1,912.00","1,949.45","1,864.30",0.34%
11-Aug-20,"1,911.25","2,027.34","2,032.19","1,901.69",-5.72%
10-Aug-20,"2,027.26","2,034.19","2,050.01","2,019.41",-0.36%
7-Aug-20,"2,034.62","2,065.11","2,073.41","2,015.55",-1.38%
6-Aug-20,"2,063.19","2,040.40","2,069.77","2,034.71",1.17%
5-Aug-20,"2,039.40","2,018.98","2,055.68","2,009.77",1.06%
4-Aug-20,"2,018.07","1,976.99","2,019.88","1,968.50",2.06%
3-Aug-20,"1,977.26","1,980.98","1,985.28","1,960.40",0.07%
31-Jul-20,"1,975.90","1,960.51","1,980.45","1,955.40",0.79%
30-Jul-20,"1,960.50","1,970.90","1,971.87","1,939.67",-0.52%
29-Jul-20,"1,970.73","1,959.60","1,980.80","1,944.97",0.57%
28-Jul-20,"1,959.51","1,942.64","1,981.22","1,907.70",0.88%
27-Jul-20,"1,942.42","1,899.99","1,945.71","1,899.73",2.15%
24-Jul-20,"1,901.46","1,887.34","1,906.54","1,881.56",0.74%
23-Jul-20,"1,887.44","1,872.39","1,898.40","1,862.80",0.82%
22-Jul-20,"1,872.07","1,842.20","1,872.64","1,840.75",1.62%
21-Jul-20,"1,842.22","1,815.89","1,843.89","1,815.57",1.44%
20-Jul-20,"1,816.09","1,809.58","1,820.73","1,805.60",0.34%
17-Jul-20,"1,809.90","1,797.30","1,812.03","1,795.11",0.71%
16-Jul-20,"1,797.05","1,811.90","1,813.74","1,795.02",-0.82%
15-Jul-20,"1,811.90","1,807.80","1,814.79","1,802.72",0.23%
14-Jul-20,"1,807.79","1,803.19","1,811.03","1,791.46",0.24%
13-Jul-20,"1,803.39","1,799.01","1,813.45","1,798.01",0.25%
10-Jul-20,"1,798.90","1,802.13","1,810.76","1,794.28",-0.24%
9-Jul-20,"1,803.19","1,811.30","1,816.26","1,795.82",-0.42%
8-Jul-20,"1,810.78","1,795.27","1,818.13","1,791.62",0.86%
7-Jul-20,"1,795.26","1,783.91","1,797.59","1,773.79",0.64%
6-Jul-20,"1,783.90","1,776.31","1,787.09","1,770.13",0.50%
3-Jul-20,"1,775.05","1,774.77","1,777.43","1,772.48",-0.06%
2-Jul-20,"1,776.14","1,769.60","1,779.83","1,757.68",0.33%
1-Jul-20,"1,770.31","1,781.60","1,789.48","1,759.27",-0.64%
30-Jun-20,"1,781.67","1,771.90","1,786.02","1,765.35",0.53%
29-Jun-20,"1,772.28","1,773.74","1,775.72","1,765.78",0.05%
26-Jun-20,"1,771.47","1,761.82","1,772.12","1,747.67",0.55%
25-Jun-20,"1,761.81","1,760.32","1,769.04","1,755.49",-0.04%
24-Jun-20,"1,762.43","1,768.99","1,779.61","1,760.80",-0.29%
23-Jun-20,"1,767.54","1,755.26","1,771.25","1,747.43",0.69%
22-Jun-20,"1,755.44","1,748.78","1,763.42","1,743.27",0.68%
19-Jun-20,"1,743.61","1,723.69","1,745.36","1,721.18",1.20%
18-Jun-20,"1,722.99","1,726.30","1,737.17","1,717.57",-0.23%
17-Jun-20,"1,727.04","1,727.71","1,730.41","1,713.22",-0.02%
16-Jun-20,"1,727.46","1,725.55","1,733.12","1,716.43",0.11%
15-Jun-20,"1,725.53","1,732.32","1,734.53","1,704.31",-0.30%
12-Jun-20,"1,730.80","1,728.34","1,743.16","1,722.57",0.19%
11-Jun-20,"1,727.51","1,737.01","1,744.92","1,721.58",-0.55%
10-Jun-20,"1,737.10","1,714.80","1,740.06","1,708.47",1.31%
9-Jun-20,"1,714.57","1,700.49","1,721.04","1,692.20",0.98%
8-Jun-20,"1,697.96","1,684.65","1,700.90","1,677.52",0.72%
5-Jun-20,"1,685.83","1,711.81","1,717.25","1,670.74",-1.52%
4-Jun-20,"1,711.83","1,699.89","1,721.62","1,696.90",0.78%
3-Jun-20,"1,698.64","1,728.10","1,733.80","1,689.54",-1.70%
2-Jun-20,"1,727.96","1,740.34","1,745.26","1,721.40",-0.71%
1-Jun-20,"1,740.33","1,738.05","1,744.84","1,727.26",0.70%
29-May-20,"1,728.30","1,721.70","1,737.71","1,712.53",0.52%
28-May-20,"1,719.40","1,709.04","1,727.52","1,707.11",0.59%
27-May-20,"1,709.26","1,712.47","1,716.37","1,693.82",-0.19%
26-May-20,"1,712.45","1,728.82","1,736.07","1,708.30",-0.99%
25-May-20,"1,729.57","1,734.61","1,736.01","1,721.45",-0.37%
22-May-20,"1,736.07","1,725.26","1,740.07","1,723.62",0.56%
21-May-20,"1,726.33","1,749.52","1,751.01","1,717.10",-1.32%
20-May-20,"1,749.50","1,745.92","1,754.77","1,741.89",0.25%
19-May-20,"1,745.11","1,732.31","1,748.76","1,725.66",0.74%
18-May-20,"1,732.32","1,743.01","1,765.94","1,727.20",-0.61%
15-May-20,"1,743.00","1,730.52","1,752.13","1,727.93",0.71%
14-May-20,"1,730.65","1,715.63","1,737.41","1,710.51",0.85%
13-May-20,"1,715.99","1,702.50","1,719.02","1,698.81",0.78%
12-May-20,"1,702.72","1,697.04","1,711.79","1,693.17",0.32%
11-May-20,"1,697.35","1,702.65","1,712.64","1,691.59",-0.31%
8-May-20,"1,702.65","1,717.46","1,723.91","1,701.06",-0.89%
7-May-20,"1,717.94","1,686.08","1,723.06","1,683.50",1.90%
6-May-20,"1,685.89","1,707.51","1,709.34","1,682.28",-1.25%
5-May-20,"1,707.17","1,700.82","1,712.90","1,691.45",0.32%
4-May-20,"1,701.69","1,699.00","1,712.57","1,691.84",0.08%
1-May-20,"1,700.41","1,685.95","1,706.53","1,670.06",0.91%
