Date,Price,Prediction,Low,High
2020-10-21,1924.49,1920.8744,1907.94,1931.41
2020-10-22,1904.04,1911.3617,1894.8,1926.0
2020-10-23,1900.79,1905.7185,1894.54,1914.3
2020-10-26,1901.69,1901.0829,1890.9,1908.55
2020-10-27,1906.83,1905.8813,1897.47,1911.34
2020-10-28,1877.06,1889.692,1869.59,1911.03
2020-10-29,1867.13,1873.64,1859.67,1885.42
2020-10-30,1877.95,1878.3597,1864.64,1889.85
2020-11-02,1895.1,1885.8541,1873.21,1896.12
2020-11-03,1908.36,1899.9303,1886.81,1910.71
2020-11-04,1903.21,1900.5264,1883.15,1916.68
2020-11-05,1948.56,1925.796,1902.43,1952.95
2020-11-06,1951.51,1949.2498,1935.4,1960.77
2020-11-09,1861.86,1896.3047,1850.36,1965.92
2020-11-10,1876.5,1876.4114,1860.3,1890.6
2020-11-11,1864.71,1871.4902,1856.05,1884.93
2020-11-12,1875.76,1874.3947,1862.46,1883.88
2020-11-13,1888.04,1886.6351,1873.76,1897.16
2020-11-16,1888.52,1882.4421,1864.74,1899.35
2020-11-17,1878.6,1887.1849,1877.69,1893.9
2020-11-18,1871.41,1875.6688,1863.94,1884.92
2020-11-19,1867.37,1864.614,1852.48,1874.34
2020-11-20,1870.49,1871.605,1860.66,1879.98
2020-11-23,1835.85,1852.392,1830.85,1876.72
2020-11-24,1807.51,1819.5972,1800.69,1839.26
2020-11-25,1805.3,1810.9729,1801.33,1817.98
2020-11-26,1810.57,1813.4617,1805.31,1818.78
2020-11-27,1788.13,1793.2203,1773.93,1813.81
2020-11-29,1786.84,1789.4573,1785.56,1789.99
2020-11-30,1781.29,1777.239,1764.66,1787.61
