Date,BTC_Price,Open,High,Low,Vol.,Change %
30-Nov-20,"19,560.00","18,196.00","19,560.00","18,196.00",14.37K,7.50%
29-Nov-20,"18,196.00","17,746.00","18,212.00","17,579.20",3.99K,2.54%
28-Nov-20,"17,746.00","17,169.30","17,800.00","16,997.00",5.75K,3.36%
27-Nov-20,"17,169.30","17,211.70","17,492.00","16,614.90",11.21K,-0.29%
26-Nov-20,"17,219.00","18,727.00","18,824.00","16,592.00",34.34K,-8.07%
25-Nov-20,"18,730.00","19,134.80","19,303.00","18,730.00",13.48K,-2.12%
24-Nov-20,"19,134.80","18,373.00","19,349.00","18,357.00",14.94K,4.15%
23-Nov-20,"18,373.00","18,399.00","18,655.00","18,158.00",8.76K,-0.14%
22-Nov-20,"18,399.00","18,660.00","18,668.00","18,122.00",9.10K,-1.40%
21-Nov-20,"18,660.00","18,669.00","18,944.50","18,521.00",6.62K,-0.05%
20-Nov-20,"18,669.00","17,810.00","18,699.70","17,810.00",7.97K,4.82%
19-Nov-20,"17,810.00","17,773.00","18,140.00","17,486.00",5.57K,0.21%
18-Nov-20,"17,773.00","17,674.90","18,212.00","17,378.60",17.52K,0.56%
17-Nov-20,"17,674.90","16,710.00","17,740.00","16,627.00",12.21K,5.77%
16-Nov-20,"16,710.00","15,962.20","16,827.60","15,906.00",6.52K,4.68%
15-Nov-20,"15,962.20","16,057.00","16,095.00","15,871.00",2.56K,-0.60%
14-Nov-20,"16,058.30","16,310.00","16,310.00","15,833.00",5.09K,-1.54%
13-Nov-20,"16,310.00","16,296.20","16,405.00","16,079.00",7.70K,0.10%
12-Nov-20,"16,294.00","15,710.00","16,294.00","15,656.00",12.30K,3.72%
11-Nov-20,"15,710.00","15,312.00","15,911.60","15,312.00",6.94K,2.60%
10-Nov-20,"15,312.00","15,329.00","15,402.00","15,177.00",3.74K,-0.11%
9-Nov-20,"15,329.00","15,501.00","15,687.00","15,063.70",8.95K,-1.11%
8-Nov-20,"15,501.00","14,844.10","15,554.20","14,844.10",6.47K,4.43%
7-Nov-20,"14,844.10","15,571.70","15,610.00","14,734.00",14.37K,-4.67%
6-Nov-20,"15,571.70","15,568.00","15,876.00","15,441.00",12.10K,-0.01%
5-Nov-20,"15,574.00","14,160.00","15,574.00","14,160.00",15.90K,9.99%
4-Nov-20,"14,160.00","14,025.00","14,160.00","13,643.00",10.10K,0.96%
