Date,Price,High,Low
2010-01-01,1097.35,1097.9,1097.05
2010-01-04,1120.4,1123.8,1093.45
2010-01-05,1119.05,1128.1,1115.25
2010-01-06,1138.9,1140.6,1116.0
2010-01-07,1132.3,1139.15,1128.6
2010-01-08,1136.6,1139.8,1119.95
2010-01-11,1153.0,1161.9,1137.2
2010-01-12,1127.7,1158.4,1125.35
2010-01-13,1138.8,1138.85,1119.75
2010-01-14,1143.25,1146.65,1131.15
2010-01-15,1130.9,1146.6,1127.5
2010-01-18,1133.0,1137.55,1126.75
2010-01-19,1138.1,1140.8,1129.0
2010-01-20,1111.7,1141.6,1107.4
2010-01-21,1095.15,1117.85,1088.7
2010-01-22,1093.0,1099.15,1082.3
2010-01-25,1098.25,1104.2,1091.05
2010-01-26,1098.05,1103.55,1085.8
2010-01-27,1086.85,1102.7,1083.65
2010-01-28,1086.3,1096.35,1074.15
2010-01-29,1081.55,1090.6,1074.85
2010-02-01,1107.35,1107.9,1076.8
2010-02-02,1115.2,1118.35,1099.0
2010-02-03,1109.65,1124.85,1107.2
2010-02-04,1063.45,1111.1,1059.5
2010-02-05,1065.45,1069.15,1044.25
2010-02-08,1063.75,1073.9,1061.9
2010-02-09,1077.3,1083.45,1061.8
2010-02-10,1072.85,1082.5,1063.5
2010-02-11,1095.35,1098.15,1071.35
2010-02-12,1093.4,1097.35,1078.55
2010-02-15,1101.0,1102.65,1092.0
2010-02-16,1119.95,1121.2,1097.85
2010-02-17,1115.2,1127.25,1111.7
2010-02-18,1123.9,1124.05,1098.2
2010-02-19,1118.85,1126.95,1098.95
2010-02-22,1113.7,1131.05,1109.7
2010-02-23,1102.05,1121.2,1099.35
2010-02-24,1096.4,1108.35,1089.85
2010-02-25,1106.1,1109.15,1088.6
2010-02-26,1116.5,1119.2,1104.4
2010-03-01,1117.35,1123.7,1112.05
2010-03-02,1134.65,1137.75,1115.1
2010-03-03,1139.5,1145.0,1132.4
2010-03-04,1132.0,1141.6,1126.1
2010-03-05,1132.05,1140.7,1127.0
2010-03-08,1122.4,1137.8,1118.55
2010-03-09,1120.1,1124.7,1108.95
2010-03-10,1108.2,1128.15,1103.25
2010-03-11,1109.45,1111.65,1100.44
2010-03-12,1102.45,1119.45,1098.65
2010-03-15,1109.1,1109.8,1100.35
2010-03-16,1125.7,1129.45,1109.05
2010-03-17,1125.05,1133.8,1118.85
2010-03-18,1125.95,1129.55,1118.4
2010-03-19,1107.55,1127.5,1101.95
2010-03-22,1102.3,1108.85,1092.75
2010-03-23,1102.65,1108.05,1094.8
2010-03-24,1087.5,1105.4,1085.35
2010-03-25,1091.35,1095.95,1085.45
2010-03-26,1106.6,1110.65,1088.85
2010-03-29,1109.2,1115.45,1104.35
2010-03-30,1103.6,1114.15,1102.45
2010-03-31,1113.8,1118.9,1102.45
2010-04-01,1126.5,1128.75,1112.35
2010-04-02,1120.5,1125.0,1120.0
2010-04-05,1130.7,1134.2,1119.2
2010-04-06,1134.2,1138.9,1123.0
2010-04-07,1148.0,1153.25,1132.8
2010-04-08,1151.15,1154.65,1144.4
2010-04-09,1160.9,1165.35,1149.7
2010-04-12,1152.0,1169.19,1152.0
2010-04-13,1151.15,1157.9,1145.75
2010-04-14,1154.9,1162.6,1150.8
2010-04-15,1158.95,1162.3,1150.85
2010-04-16,1137.45,1160.45,1130.65
2010-04-19,1135.6,1138.45,1124.15
2010-04-20,1140.5,1146.3,1133.45
2010-04-21,1146.3,1150.9,1138.25
2010-04-22,1141.45,1149.5,1132.15
2010-04-23,1157.4,1158.0,1135.45
2010-04-26,1154.88,1160.23,1151.05
2010-04-27,1172.93,1172.93,1146.55
